id,popularity,budget,revenue,original_title,director,runtime,genres,vote_count,vote_average,release_year
26811,0.350775,1800000,610986,dr. terror's house of horrors,freddie francis,98,horror,16,5.9,1965
37921,0.118301,4200000,610986,in harm's way,otto preminger,165,war|drama,11,6.6,1965
10243,0.332191,5355000,610986,the flight of the phoenix,robert aldrich,142,adventure|drama,26,6.3,1965
14831,0.624024,1500000,610986,help!,richard lester,92,comedy|music,38,6.7,1965
16211,0.314916,1800000,610986,the sons of katie elder,henry hathaway,122,action|adventure|drama|western,26,6.9,1965
15247,0.306394,1800000,610986,the ipcress file,sidney j. furie,109,thriller,43,6.6,1965
315,0.289649,45000,610986,"faster, pussycat! kill! kill!",russ meyer,83,action|crime,27,6.4,1965
886,0.256709,1800000,15260000,the cincinnati kid,norman jewison,102,drama,22,6.8,1965
3681,0.250043,1800000,610986,what's new pussycat?,clive donner,108,comedy|romance,24,6.0,1965
21876,0.243896,5760000,610986,von ryan's express,mark robson,117,action|drama|history|thriller|war,20,6.2,1965
36583,0.225062,115,3700000,operation crossbow,michael anderson,115,action|thriller|war,10,5.7,1965
13580,0.201703,1800000,610986,the spy who came in from the cold,martin ritt,112,drama|thriller,26,6.4,1965
26573,0.199141,1800000,610986,dr. goldfoot and the bikini machine,norman taurog,88,comedy|science fiction,10,6.4,1965
24395,0.246816,1800000,610986,the hill,sidney lumet,123,drama|war,15,7.2,1965
21027,0.191276,1800000,610986,shenandoah,andrew v. mclaglen,105,action|adventure|drama|western,19,5.4,1965
16850,0.145019,1800000,610986,the heroes of telemark,anthony mann,131,action|drama|history,15,5.6,1965
24134,0.168025,1800000,610986,darling,john schlesinger,128,drama|romance,16,5.8,1965
13524,0.160842,6500000,11118000,battle of the bulge,ken annakin,167,drama|history|war,31,6.0,1965
11481,0.151644,300000,610986,repulsion,roman polanski,105,drama|horror|thriller,91,7.1,1965
42745,0.102242,1800000,610986,the skull,freddie francis,83,thriller|horror,10,5.3,1965
1942,0.127948,1800000,610986,bunny lake is missing,otto preminger,107,thriller|mystery,14,5.5,1965
2428,0.146033,20000000,12000000,the greatest story ever told,george stevens,199,drama|history,13,5.7,1965
11694,0.141221,1800000,20666667,cat ballou,elliot silverstein,97,comedy|western,26,6.3,1965
36815,0.169392,10000000,4000000,the agony and the ecstasy,carol reed,138,drama,16,6.4,1965
29715,0.119918,3800000,14873,major dundee,sam peckinpah,123,action|adventure|war|western,18,5.2,1965
30080,0.100102,1800000,610986,ship of fools,stanley kramer,149,war|drama|romance,10,4.5,1965
20723,0.073488,1800000,610986,that darn cat!,robert stevenson,112,comedy|drama|family,14,5.9,1965
28295,0.014759,1800000,610986,i saw what you did,william castle,82,horror|mystery|thriller,11,4.4,1965
29067,0.00477,1800000,610986,"die, monster, die!",daniel haller,80,drama|horror|thriller|science fiction|foreign,10,6.4,1965
668,1.778746,7000000,81974493,on her majesty's secret service,peter r. hunt,142,adventure|action|thriller,258,6.4,1969
